uke_start,horisont,faktisk,xgb_pred,lgbm_pred,ensemble_pred
2024-06-10,8,84.87,93.74772,104.49606028597815,99.12188954850666
2024-06-17,8,85.58,90.158226,97.90033566310561,94.0292808381446
2024-06-24,8,79.29,88.0832,95.32074324958931,91.7019708984763
2024-07-01,8,78.24,87.6339,97.01086280383385,92.3223831536259
2024-07-08,8,79.78,87.9072,94.01457879313436,90.96089123372539
2024-07-15,8,81.46,83.63069,87.36548265047254,85.49808708939642
2024-07-22,8,81.55,77.26988,85.07847544217897,81.1741788221637
2024-07-29,8,81.19,72.23195,82.22386763752019,77.22790824502962
2024-08-05,8,80.41,68.66188,80.54223052393726,74.60205550855066
2024-08-12,8,80.89,67.367325,76.13135139180301,71.74933811045229
2024-08-19,8,76.82,67.6373,74.33406231153884,70.98568044776161
2024-08-26,8,73.93,65.350044,76.00873048514315,70.6793873678157
2024-09-02,8,73.08,65.90238,76.2887478590301,71.09556487800137
2024-09-09,8,74.12,64.68314,76.23772396701678,70.46043379136972
2024-09-16,8,74.57,67.44856,74.46147542015629,70.9550190211133
2024-09-23,8,73.23,71.86391,75.49921915363035,73.68156300699096
2024-09-30,8,69.7,75.13708,79.3996098083828,77.2683435699629
2024-10-07,8,72.76,74.5158,79.51015850203945,77.01297948905683
2024-10-14,8,76.02,77.31627,81.03917057706603,79.17771974898224
2024-10-21,8,77.59,72.183525,79.71355972665148,75.94854240605035
2024-10-28,8,76.49,72.74533,78.06193745796787,75.40363413425737
2024-11-04,8,77.8,66.40231,74.81943067051189,70.61087195146689
2024-11-11,8,81.68,65.96874,75.07480278655734,70.5217725785814
2024-11-18,8,86.59,67.69006,76.3989872886396,72.04452538260105
2024-11-25,8,89.32,70.20853,77.49812648628678,73.85332654880744
2024-12-02,8,87.46,68.27195,77.4654742482641,72.86871200816526
2024-12-09,8,90.74,74.59052,79.65928300616393,77.12490288613861
2024-12-16,8,92.15,77.620476,83.40102398227499,80.51074987565897
2024-12-23,8,111.82,81.244835,84.46417752221744,82.85450621105988
2024-12-30,8,125.36,73.89937,83.85168219685983,78.87552524149632
2025-01-06,8,117.77,87.654945,95.20704932619995,91.43099734986755
2025-01-13,8,105.08,93.01762,98.94469402304219,95.98115514750742
2025-01-20,8,98.43,91.31556,103.14667101661541,97.23111520191122
2025-01-27,8,94.49,91.12012,102.64930780574292,96.88471249662146
2025-02-03,8,92.18,90.94056,104.07988408738562,97.51022173729632
2025-02-10,8,93.23,90.781784,103.72395680691409,97.25287043226564
2025-02-17,8,92.97,91.913895,108.52191760486234,100.21790612909132
2025-02-24,8,92.67,94.1289,108.4571676843583,101.29303315248188
2025-03-03,8,87.0,93.870476,107.64704293832175,100.75875935368236
