iso_aar,iso_uke,uke_start,uke_kode,eksport_volum_tonn,eksport_pris_nok_kg,eur_nok_snitt,eur_nok_ukeslutt,usd_nok_snitt,usd_nok_ukeslutt,fao_global_atlantisk_tonn,fao_norge_tonn,fao_eks_norge_tonn,pris_lag_1,pris_lag_2,pris_lag_4,pris_lag_8,pris_lag_12,volum_lag_1,volum_lag_4,volum_lag_12,pris_ma_4,pris_ma_12,pris_endring_1u,pris_endring_4u,pris_endring_52u,eur_endring_4u,usd_endring_4u,maaned,kvartal,uke_sin,uke_cos
2011,11,2011-03-14,2011U11,12165,40.44,7.8787,7.883,5.634539999999999,5.5789,1737714.0,1065576.0,672138.0,40.56,40.89,40.81,40.44,43.24,12801.0,10982.0,10713.0,40.9675,40.401666666666664,-0.002958579881656931,-0.009066405292820545,0.10341064120054577,0.016439945844884285,-0.01974944213097185,3,1,0.970941817426052,0.23931566428755782
2011,12,2011-03-21,2011U12,11899,40.79,7.8887,7.884,5.5724,5.5855,1737714.0,1065576.0,672138.0,40.44,40.56,41.61,38.82,40.37,12165.0,10585.0,7752.0,40.875,40.16833333333334,0.008654797230464917,-0.01970680124969959,0.16144646924829154,0.015455950540958385,-0.00994398752127068,3,1,0.992708874098054,0.120536680255323
2011,13,2011-03-28,2011U13,10941,40.94,7.8569,7.8055,5.569599999999999,5.5198,1737714.0,1065576.0,672138.0,40.79,40.44,40.89,39.98,38.43,11899.0,10941.0,9309.0,40.67,40.20333333333333,0.0036773719048786013,0.0012227928588897097,0.06448257930317203,0.003277634961439624,-0.009777012360296378,3,1,1.0,6.123233995736766e-17
2011,14,2011-04-04,2011U14,12729,42.2,7.8031999999999995,7.802,5.4653599999999996,5.4177,1737714.0,1065576.0,672138.0,40.94,40.79,40.56,39.71,39.96,10941.0,12801.0,11133.0,40.6825,40.4125,0.030776746458231585,0.04043392504930976,0.07488537952114127,-0.00044840176798421894,-0.044025268210050816,4,2,0.992708874098054,-0.12053668025532288
2011,15,2011-04-11,2011U15,13763,43.61,7.843500000000001,7.808,5.4282200000000005,5.4035,1737714.0,1065576.0,672138.0,42.2,40.94,40.44,40.81,40.44,12729.0,12165.0,11853.0,41.0925,40.59916666666667,0.033412322274881445,0.07838773491592477,0.10126262626262617,-0.009514144361283838,-0.03143988958396815,4,2,0.9709418174260521,-0.2393156642875575
2011,16,2011-04-18,2011U16,8130,43.08,7.7749999999999995,7.7735,5.4243,5.3889,1737714.0,1065576.0,672138.0,43.61,42.2,40.79,41.61,38.82,13763.0,11899.0,11570.0,41.885,40.86333333333333,-0.012153175877092415,0.056141211081147224,0.13607594936708844,-0.01401572805682394,-0.03519828126398716,4,2,0.9350162426854148,-0.3546048870425357
2011,17,2011-04-25,2011U17,9888,42.71,7.789875,7.782,5.286975,5.2369,1737714.0,1065576.0,672138.0,43.08,43.61,40.94,40.89,39.98,8130.0,10941.0,10320.0,42.457499999999996,41.218333333333334,-0.008588672237697215,0.043234000977039555,0.10590367685137236,-0.0030106975850362483,-0.051251856951338715,4,2,0.8854560256532099,-0.4647231720437685
2011,18,2011-05-02,2011U18,11889,42.21,7.8651,7.945,5.3283000000000005,5.4789,1737714.0,1065576.0,672138.0,42.71,43.08,42.2,40.56,39.71,9888.0,12729.0,10817.0,42.9,41.44583333333333,-0.011706860220088933,0.00023696682464446894,0.08592745047594552,0.018328633683670992,0.011296306550750312,5,2,0.8229838658936565,-0.5680647467311557
2011,19,2011-05-09,2011U19,13036,40.05,7.820099999999999,7.8405,5.4653,5.4905,1737714.0,1065576.0,672138.0,42.21,42.71,43.61,40.44,40.81,11889.0,13763.0,10982.0,42.902499999999996,41.65416666666666,-0.05117270788912587,-0.08163265306122458,0.013667425968109326,0.004162397540983465,0.01610067548810945,5,2,0.7485107481711013,-0.663122658240795
2011,20,2011-05-16,2011U20,10413,38.75,7.875875,7.828,5.539425,5.4983,1737714.0,1065576.0,672138.0,40.05,42.21,43.08,40.79,41.61,13036.0,8130.0,10585.0,42.0125,41.59083333333333,-0.03245942571785265,-0.10051067780872791,-0.07252273815222599,0.0070109989065414435,0.020300989070125786,5,2,0.6631226582407952,-0.7485107481711012
2011,21,2011-05-23,2011U21,12609,36.67,7.8138000000000005,7.769,5.533340000000001,5.4462,1737714.0,1065576.0,672138.0,38.75,40.05,42.71,40.94,40.89,10413.0,9888.0,10941.0,40.93,41.3525,-0.05367741935483872,-0.1414188714586747,-0.07515762925598979,-0.0016705217167822806,0.039966392331340916,5,2,0.5680647467311558,-0.8229838658936564
2011,22,2011-05-30,2011U22,10992,36.08,7.75875,7.7965,5.39255,5.3814,1737714.0,1065576.0,672138.0,36.67,38.75,42.21,42.2,40.56,12609.0,11889.0,12801.0,39.42,41.00083333333333,-0.016089446413962483,-0.14522624970386167,-0.05127530896660537,-0.018691000629326604,-0.017795542900947314,5,2,0.4647231720437687,-0.8854560256532098
2011,23,2011-06-06,2011U23,13201,34.11,7.8554,7.8555,5.38374,5.4228,1737714.0,1065576.0,672138.0,36.08,36.67,40.05,43.61,40.44,10992.0,13036.0,12165.0,37.8875,40.6275,-0.054600886917960056,-0.14831460674157304,-0.08207750269106562,0.0019131432944328175,-0.012330388853474261,6,2,0.35460488704253584,-0.9350162426854147
2011,24,2011-06-13,2011U24,11833,33.37,7.841125,7.8695,5.4937000000000005,5.5147,1737714.0,1065576.0,672138.0,34.11,36.08,38.75,43.08,40.79,13201.0,10413.0,11899.0,36.4025,40.1,-0.021694517736734142,-0.1388387096774194,-0.13861641713990713,0.005301481859989687,0.002982740119673366,6,2,0.23931566428755768,-0.970941817426052
2011,25,2011-06-20,2011U25,13159,31.61,7.8581,7.7825,5.50008,5.4729,1737714.0,1065576.0,672138.0,33.37,34.11,36.67,42.71,40.94,11833.0,12609.0,10941.0,35.0575,39.48166666666667,-0.052741983817800375,-0.1379874556858468,-0.21073657927590506,0.0017376753764963837,0.0049025008262642,6,2,0.12053668025532308,-0.992708874098054
2011,26,2011-06-27,2011U26,12880,28.54,7.793899999999999,7.79,5.42544,5.3769,1737714.0,1065576.0,672138.0,31.61,33.37,36.08,42.21,42.2,13159.0,10992.0,12729.0,33.7925,38.704166666666666,-0.09712116418854799,-0.208980044345898,-0.2698899974418011,-0.0008337074328224059,-0.000836213624707316,6,2,1.2246467991473532e-16,-1.0
2011,27,2011-07-04,2011U27,12160,31.2,7.7533,7.745,5.40192,5.4381,1737714.0,1065576.0,672138.0,28.54,31.61,34.11,40.05,43.61,12880.0,13201.0,13763.0,31.9075,37.56583333333334,0.09320252277505259,-0.08531222515391379,-0.22136261542300972,-0.014066577557125592,0.0028214206682894982,7,3,-0.12053668025532327,-0.992708874098054
2011,28,2011-07-11,2011U28,13277,33.21,7.8111999999999995,7.8665,5.54368,5.5609,1737714.0,1065576.0,672138.0,31.2,28.54,33.37,38.75,43.08,12160.0,11833.0,8130.0,31.18,36.531666666666666,0.06442307692307692,-0.004794725801618105,-0.18463049349373917,-0.00038121862888362834,0.008377608936116054,7,3,-0.23931566428755743,-0.9709418174260521
2011,29,2011-07-18,2011U29,12758,30.11,7.815099999999999,7.7675,5.5022199999999994,5.3975,1737714.0,1065576.0,672138.0,33.21,31.2,31.61,36.67,42.71,13277.0,13159.0,9888.0,31.139999999999997,35.70916666666667,-0.0933453778982235,-0.04745333755140779,-0.21792207792207796,-0.0019274012206873525,-0.013776973816441052,7,3,-0.3546048870425356,-0.9350162426854148
2011,30,2011-07-25,2011U30,10897,30.62,7.750400000000001,7.737,5.3961,5.4257,1737714.0,1065576.0,672138.0,30.11,33.21,28.54,36.08,42.21,12758.0,12880.0,11889.0,30.764999999999997,34.659166666666664,0.01693789438724691,0.07288016818500354,-0.2044686931670564,-0.0068035943517329445,0.009075861555914999,7,3,-0.46472317204376806,-0.8854560256532101
2011,31,2011-08-01,2011U31,11197,29.35,7.7092,7.784,5.4088,5.4991,1737714.0,1065576.0,672138.0,30.62,30.11,31.2,34.11,40.05,10897.0,12160.0,13036.0,31.285,33.693333333333335,-0.04147615937295879,-0.059294871794871695,-0.24453024453024452,0.0050355067785667895,0.011217153049778439,8,3,-0.5680647467311556,-0.8229838658936566
2011,32,2011-08-08,2011U32,12169,29.59,7.810899999999999,7.826,5.4813,5.4919,1737714.0,1065576.0,672138.0,29.35,30.62,33.21,33.37,38.75,11197.0,13277.0,10413.0,30.822499999999998,32.80166666666667,0.008177172061328841,-0.10900331225534476,-0.25746549560853205,-0.005148414161317061,-0.012408063442967854,8,3,-0.6631226582407953,-0.748510748171101
2011,33,2011-08-15,2011U33,12639,28.91,7.839,7.8575,5.45146,5.4623,1737714.0,1065576.0,672138.0,29.59,29.35,30.11,31.61,36.67,12169.0,12758.0,12609.0,29.9175,32.038333333333334,-0.02298073673538359,-0.03985386914646294,-0.3001694504962479,0.011586739620212505,0.01200555812876325,8,3,-0.7485107481711009,-0.6631226582407955
2011,34,2011-08-22,2011U34,13788,26.55,7.8096000000000005,7.7735,5.413259999999999,5.3975,1737714.0,1065576.0,672138.0,28.91,29.59,30.62,28.54,36.08,12639.0,10897.0,10992.0,29.6175,31.391666666666666,-0.08163265306122447,-0.13291966035271063,-0.3292066700353714,0.0047175907974668085,-0.005197486038667876,8,3,-0.8229838658936564,-0.5680647467311559
